state_ut_name,district,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,mean_rainfall,std_rainfall,recharge_index,predicted_recharge
MIZORAM,MAMIT,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,496.6588235294118,728.8580555043138,0.38930463530355636,0.389450476994085
MIZORAM,SAIHA,6.7,31.0,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,2480.6,37.7,521.8,1622.6,298.5,437.75294117647053,648.7546089601667,0.34313142351264986,0.3433978393482074
MIZORAM,SERCHHIP,15.4,33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,2505.8,49.2,548.8,1650.4,257.4,442.2,656.388552992814,0.34661723818350326,0.3460456291296056
NAGALAND,KOHIMA,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,322.0235294117647,493.4265022896163,0.25241724648306196,0.2523394611742033
NAGALAND,TUENSANG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,367.0588235294118,548.5842495219212,0.2877180363244021,0.2876837314816101
NAGALAND,MOKOKCHUNG,23.4,31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,2409.8,54.5,486.3,1676.1,192.9,425.25882352941176,647.4548768628817,0.3333379441993001,0.33374319320911655
NAGALAND,DIMAPUR,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272.0,150.8,125.0,43.7,16.3,1305.9,18.8,286.8,815.3,185.0,230.45294117647063,336.1897029908245,0.18063989597886382,0.18055662373950432
NAGALAND,WOKHA,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,2497.7,62.5,566.6,1668.7,199.9,440.7705882352941,659.9614910779889,0.3454967977535861,0.3445572415955427
NAGALAND,MON,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,1339.9,46.6,380.0,823.9,89.4,236.4529411764706,347.5772254435823,0.18534297926493576,0.1853875663388345
NAGALAND,ZUNHEBOTO,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,367.0588235294118,548.5842495219212,0.2877180363244021,0.2876837314816101
NAGALAND,PHEK,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,322.0235294117647,493.4265022896163,0.25241724648306196,0.2523394611742033
NAGALAND,KEPHRIE,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,367.0588235294118,548.5842495219212,0.2877180363244021,0.2876837314816101
NAGALAND,LONGLENG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080.0,50.5,468.6,1386.1,174.8,367.0588235294118,548.5842495219212,0.2877180363244021,0.2876837314816101
NAGALAND,PEREN,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308.0,168.1,322.0235294117647,493.4265022896163,0.25241724648306196,0.2523394611742033
TRIPURA,NORTH TRIPURA,13.6,37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,2641.8,50.8,831.3,1527.7,232.0,466.20000000000005,674.7865180929448,0.36542957132779114,0.3645169887356545
TRIPURA,SOUTH TRIPURA,8.1,30.6,78.5,169.7,335.0,474.9,497.4,396.8,255.1,175.1,44.5,9.7,2475.4,38.7,583.2,1624.2,229.3,436.835294117647,651.5456449294022,0.3424121284218388,0.34230441859285654
TRIPURA,WEST TRIPURA,9.6,27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,2286.7,37.5,626.2,1396.3,226.7,403.535294117647,589.8620410116848,0.3163100161841395,0.31538161832173583
TRIPURA,DHALAI,13.6,38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,2512.6,52.5,783.1,1440.7,236.3,443.40000000000003,640.2377898093802,0.34755785484071766,0.3465106810710107
WEST BENGAL,COOCH BEHAR,8.9,16.0,32.2,138.9,345.4,668.8,864.9,733.0,470.9,141.3,15.1,8.3,3443.7,24.9,516.5,2737.6,164.7,607.7117647058824,983.7530513817688,0.47635317388958826,0.477851613111459
WEST BENGAL,DARJEELING,48.3,33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,3118.5,82.1,450.5,2440.3,145.6,550.3235294117649,880.2838516136512,0.4313695655181001,0.4305579147819751
